Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,-6.018776992576838,-2.060326958049935,-1.5019514305906136,-2.7057825056978935,-0.8178112011943633,-3.2599069659128994,-0.4154288168193044,0.08869796397419699,0.20645427518367704,3.0309233145638608,-0.015080710906765656,2.6544240972285755
1,-6.018754834930619,-2.0603257333847833,-1.501940079837034,-2.7057562007367055,-0.8178077248536059,-3.259891413895381,-0.41543458603863287,0.0886879617075231,0.20645952401433174,3.0309654914002553,-0.015109064764198037,2.6544424871747805
2,-6.018601519496196,-2.0603172595573813,-1.5018615405509186,-2.7055741887796585,-0.8177836710038352,-3.259783804797451,-0.41547449487461413,0.08861874814208442,0.206495845646484,3.0312573315579314,-0.015305248403735941,2.6545697120556873
3,-6.018190773065741,-2.0602945573788904,-1.5016511264360983,-2.705086561673238,-0.8177192284839466,-3.259495509929907,-0.41558132711675616,0.0884332766272412,0.20659318389496004,3.032039249708051,-0.015830797534089277,2.65491038116237
4,-6.017401585075296,-2.06025093852966,-1.5012468471043166,-2.7041496589330816,-0.8175954117955978,-3.2589415943501163,-0.41578623245879504,0.08807674990528983,0.20678032403391,3.033541798026015,-0.01684037644819999,2.6555641972854076
5,-6.016118135016583,-2.0601800015472382,-1.5005893708902918,-2.7026259815692346,-0.8173940497147566,-3.2580407659137847,-0.41611846504232963,0.08749645493889108,0.20708500296273305,3.0359859722286617,-0.018481723710440365,2.6566254458316783
6,-6.014229719848815,-2.060075627814383,-1.4996219876667813,-2.700384105911399,-0.8170977739032493,-3.2567153243267293,-0.416605036134633,0.0866415613384811,0.20753404629948413,3.0395835769329085,-0.02089554912053568,2.6581823120465495
7,-6.011630681410497,-2.0599319775470732,-1.4982905716596446,-2.6972985974341888,-0.8166900075203088,-3.254891110196649,-0.4172702940559905,0.08546289486271619,0.20815352609275614,3.044537652539789,-0.024215384167924833,2.6603160566884854
8,-6.008220333831245,-2.0597434857825205,-1.4965435442629067,-2.6932499245823833,-0.8161549538341226,-3.252497454084897,-0.41813544256307444,0.08391269890603588,0.20896893262193533,3.051042971463573,-0.028567385012497643,2.6631000777424783
9,-6.0039028909435865,-2.05950485836718,-1.4943318368538208,-2.6881243725961785,-0.8154775848333808,-3.2494671255582523,-0.4192180071424892,0.08194439843823557,0.2100053534904327,3.059286617142744,-0.03407008375119244,2.6665988826861375
10,-5.998587393694773,-2.0592110679447613,-1.4916088536079322,-2.6818139573364426,-0.8146436298388247,-3.2457362822406894,-0.42053125721388823,0.07951238242296346,0.21128765293210575,3.0694486645286356,-0.040834080476301944,2.670866992269473
11,-5.99218763755859,-2.0588573499442404,-1.4883304343141408,-2.6742163391099667,-0.813639564114794,-3.2412444188651515,-0.42208359122396916,0.07657182223800912,0.21284064396534094,3.0817029853698346,-0.0489616654666012,2.675947792560318
12,-5.98462209994716,-2.058439198567869,-1.484454817189766,-2.6652347364947193,-0.8124525974807759,-3.235934316325322,-0.4238778911641652,0.07307854498434155,0.21468924575489393,3.096218205400781,-0.058546357784997616,2.6818723469877797
13,-5.9758138676227555,-2.05795236277919,-1.479942601695608,-2.654777840165099,-0.8110706629229528,-3.229751990727395,-0.425910853288588,0.06898898173810153,0.21685861828908773,3.1131588433902624,-0.06967234353326662,2.6886581741852478
14,-5.96569056410961,-2.057392842291043,-1.4747567113510127,-2.6427597267171876,-0.8094824052057501,-3.222646642441848,-0.42817230285179664,0.06426021169529307,0.21937426626023185,3.1326866638752233,-0.08241379391819488,2.6963079905791454
15,-5.95418427710572,-2.0567568835535797,-1.4688623565489334,-2.6290997724940026,-0.8076771694833847,-3.2145706051552114,-0.43064450261370557,0.058850123687641656,0.222262103862908,-3.1282230308594356,-0.0968340399301061,2.704808408999305
16,-5.941231485894659,-2.056040975742274,-1.4622269973709958,-2.613722567410752,-0.8056449899114133,-3.2054792949218425,-0.43330146772794875,0.052717716585842796,0.22554847211707546,-3.1030382937381638,-0.11298457657554661,2.714128576374014
17,-5.926772988757385,-2.0552418467459326,-1.4548203064025598,-2.596557828780084,-0.8033765782582796,-3.195331159215695,-0.4361083034588955,0.04582355949304847,0.22926010030659108,-3.074780186674534,-0.13090386493344075,2.724218725303972
18,-5.910753830384047,-2.0543564591547065,-1.4466141315477838,-2.5775403151373446,-0.8008633125168634,-3.184087625982092,-0.4390205869309981,0.03813043116734936,0.23342400323298634,-3.0432790218133783,-0.15061589446694695,2.735008606758981
19,-5.893123229285795,-2.0533820062481025,-1.4375824588446877,-2.5566097400658268,-0.7980972255160284,-3.1717130526894945,-0.4419838197099403,0.029604155558562332,0.23806730626217548,-3.00835677182504,-0.17212846065314852,2.746405765489321
