Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,-4.668650791090831,3.6136131025713882,0.44214262182936254,-5.601815592242693,1.399895323158212,2.7649424129657993,-0.13451059047918285,-0.2649592568843265,0.5306073771721178,1.3314429301138317,-1.4002504713684836,3.0445364030245456
1,-4.668622217239553,3.6136162641580487,0.44214418949320594,-5.601804739268129,1.3998795998370446,2.7649423301323512,-0.1345045535829724,-0.26496063143926324,0.5306070698075527,1.331521314032501,-1.4002327623140083,3.0444880564530004
2,-4.668424506147931,3.613638140129328,0.44215503663196803,-5.6017296442650935,1.399770805437518,2.764941756982752,-0.13446278320409047,-0.2649701395365641,0.5306049417237904,1.3320632354255408,-1.4001102001506585,3.044153979289694
3,-4.667894819587339,3.6136967479084445,0.4421840971342191,-5.601528457707734,1.3994793350358123,2.7649402214612113,-0.1343508826933653,-0.26499558797551004,0.5305992288861736,1.3335113080196883,-1.3997816052229863,3.04326279918097
4,-4.666877105880477,3.6138093540128335,0.4422399325540118,-5.601141907751033,1.3989193181408597,2.7649372711856417,-0.1341359081102578,-0.26504438269647695,0.5305882055216741,1.3362781707832485,-1.3991492869552493,3.041566160544036
5,-4.665222006293765,3.61399248441147,0.44233073724652966,-5.600513264676595,1.3980085671849292,2.7649324731762968,-0.13378636845915515,-0.26512345479316174,0.5305701463465462,1.3407350698113347,-1.3981182544339332,3.0388504278378
6,-4.662786761429735,3.6142619348821894,0.4424643435037357,-5.5995883053384246,1.3966685260142078,2.7649254135844092,-0.13327223190986584,-0.26523916380456275,0.5305432778877325,1.3471977938235709,-1.3965952741971122,3.0349510914173554
7,-4.659435117619437,3.6146327813690085,0.44264822669002063,-5.598315277608708,1.394824218379384,2.764915697420831,-0.1325649368690305,-0.26539718361477244,0.53050572106459,1.3559116355183152,-1.3944878936207217,3.0297681937547134
8,-4.655037233314823,3.615119390339446,0.44288951037785174,-5.596644864823598,1.3924041964262308,2.7649029482846696,-0.1316374067909425,-0.26560237644205176,0.5304554271377727,1.3670373492742003,-1.3917035673713316,3.023280796365879
9,-4.649469585481147,3.6157354291418446,0.4431949714834212,-5.594530150228992,1.389340489186188,2.7648868080919287,-0.1304640675891476,-0.26585866054218193,0.530390109085552,1.3806402243721536,-1.3881490283820415,3.0155583599051052
10,-4.6426148759893655,3.6164938763626924,0.44357104540229453,-5.591926581426312,1.3855685510669442,2.764866936804145,-0.12902086641178853,-0.2661688773366887,0.5303071704336024,1.396684287528038,-1.3837300268428794,3.0067670160776943
11,-4.634361938008523,3.6174070321839418,0.4440238311450594,-5.5887919348182935,1.3810272103430212,2.7648430121570278,-0.12728529035096026,-0.2665346636579644,0.5302036335426976,1.41503321145637,-1.3783515184506592,2.9971691479116593
12,-4.624605642398157,3.6184865287403345,0.4445590964729739,-5.5850862800547585,1.375658617646355,2.764814729389099,-0.1252363833490511,-0.26695633463551566,0.530076069351082,1.4354587219301278,-1.3719183208172774,2.987115480024093
13,-4.613246804100687,3.619743340476718,0.4451822830336151,-5.580771944478404,1.3694081944568794,2.7647818009703276,-0.12285475912968456,-0.2674327823858296,0.5299205305759281,1.4576562450527857,-1.3643361855005747,2.977029932137153
14,-4.600192088533813,3.621187794505371,0.44589851149652765,-5.575813477570578,1.362224581593109,2.7647439563307734,-0.12012260741518895,-0.26796139506763994,0.5297324904025956,1.4812664063030572,-1.35551316823384,2.9673886201625206
15,-4.5853539179829115,3.6228295809633213,0.44671258668887226,-5.570177615397063,1.3540595877027213,2.7647009415892216,-0.11702369000970689,-0.2685379999795134,0.529506788731853,1.5059000415372032,-1.3453611372631094,2.9586953415018336
16,-4.568650377993429,3.6246777633696694,0.44762900273107414,-5.563833245053862,1.3448681377531395,2.7646525192818228,-0.1135433225603493,-0.26915683316289446,0.5292375881132211,1.5311638551696158,-1.3337972495350323,2.951456407175906
17,-4.550005123763279,3.6267407889829077,0.4486519481724716,-5.5567513691129715,1.3346082215221151,2.7645984680907323,-0.10966833701539072,-0.269810536388921,0.5289183415649378,1.5566839024859864,-1.3207452478506287,2.946157642711382
18,-4.529347286535237,3.6290264991582424,0.4497853111269647,-5.54890507006817,1.323240842088311,2.7645385825727473,-0.1053870190630796,-0.27049018041537704,0.5285417745636102,1.5821246531336228,-1.3061364805512532,2.943245800717074
19,-4.506611379989335,3.631542139704915,0.4510326844086634,-5.540269474780798,1.3107299643218848,2.764472672887947,-0.10068901427204728,-0.27118531097678633,0.5280998835731169,1.6072023252094154,-1.2899106044031812,2.9431156968360868
20,-4.48173720663526,3.6342943712435227,0.45239737066753655,-5.5308217189255355,1.2970424633750695,2.76440056452833,-0.09556519641052942,-0.2718840111108324,0.527583953564051,1.6316921984173185,-1.2720159861922742,2.946103362861009
21,-4.454669764204746,3.637289279563341,0.45388238752506,-5.520540911436189,1.2821480731727584,2.764322098046453,-0.0900074916729887,-0.2725729701522755,0.5269845970407816,1.6554304771855584,-1.2524098585247714,2.9524846495380754
22,-4.4253591520439715,3.640532385979642,0.45549047270986537,-5.5094080989514715,1.2660193349030862,2.76423712878407,-0.08400865349194277,-0.2732375461067383,0.5262918171293365,1.678311833700742,-1.2310583063100236,2.9624781536563995
23,-4.393760477505956,3.644028657691019,0.4572240891933884,-5.497406230260781,1.2486315455080133,2.76414552660077,-0.07756198448121916,-0.2738618042713672,0.5254950972697127,1.7002839864763926,-1.2079361640270307,2.9762511194451133
24,-4.359833762342952,3.6477825181367045,0.4590854303255177,-5.484520120749987,1.229962706173907,2.7640471756026175,-0.07066100507205345,-0.27442851108660865,0.5245835199826316,1.7213406218495628,-1.1830268952361342,2.993927013523737
25,-4.3235438490988445,3.6517978573538934,0.4610764249702429,-5.470736416847207,1.2099934708221243,2.7639419738707875,-0.06329907278064544,-0.27491905855514465,0.5235459170232507,1.7415137451353426,-1.1563225108295105,3.0155936941773067
26,-4.284860307501544,3.656078042335064,0.4631987426413038,-5.456043560468593,1.1887070945995963,2.7638298331902087,-0.05546896196297264,-0.2753132915161777,0.5223710529717567,1.7608662558115735,-1.127823566200028,3.041311388750712
27,-4.243757340855382,3.6606259273852975,0.4654537986378379,-5.440431753464107,1.1660893823694094,2.7637106787781986,-0.04716242147848285,-0.2755892080816684,0.5210478439216744,1.7794852523825595,-1.097539263096229,3.0711199820703827
28,-4.2002136924335085,3.6654438644796015,0.46784275918003015,-5.42389292206331,1.142128637201388,2.7635844490131025,-0.03836973689923917,-0.27572250318998226,0.5195656123903486,1.7974763307125536,-1.065487670975246,3.1050453606721042
29,-4.154212551870286,3.670533713620228,0.4703665465447603,-5.406420681321137,1.116815608862678,2.7634510951629334,-0.02907933461320992,-0.275685927161065,0.5179143788734923,1.8149589606405199,-1.0316960754648383,-3.140080571087573
30,-4.105741461553683,3.6758968531939984,0.47302584420125215,-5.388010299563682,1.0901434423083285,2.763310581114011,-0.019277477027913204,-0.2754484360518651,0.5160851895815097,1.8320629076627042,-0.996201457669172,-3.097874319874305
31,-4.054792223017677,3.6815341903296215,0.475821101946722,-5.368658662833979,1.0621076261718756,2.763162883099598,-0.008948110485559928,-0.2749741192277345,0.5140704788190212,1.8489255984039699,-0.9590511067587164,-3.0515091788575113
32,-4.00136080333464,3.6874461712550164,0.4787525410420268,-5.348364239337783,1.032705941255925,2.763007989428539,0.0019270604303273167,-0.27422090254374937,0.5118644631970996,1.8656902967924809,-0.9203033687859344,-3.0009712718397945
33,-3.94544724150774,3.693632791654632,0.48182015934731304,-5.32712704388935,1.0019384090227335,2.762845900213903,0.013368187978377697,-0.273139043380726,0.5094635634053898,1.8825049495385502,-0.8800285362616083,-2.946242736157316
34,-3.8870555548633368,3.7000936070267705,0.48502373645766506,-5.304948602357224,0.969807240084793,2.7626766271016163,0.02539649401271575,-0.27166945675701354,0.506866847634417,1.8995215644116217,-0.8383098851208551,-2.887300076061955
35,-3.826193645443375,3.706827743040906,0.48836283883875364,-5.281831916110013,0.936316782695413,2.762500192999105,0.03803298600700906,-0.2697419397058095,0.5040764889554026,1.9168959953590574,-0.7952448677992766,-2.8241128896821777
36,-3.7628732063977814,3.7138339058950063,0.49183682496248465,-5.257781426462171,0.9014734712393024,2.762316631803932,0.0512965860834546,-0.26727339341386025,0.501098227078106,1.934788019519203,-0.7509464727548865,-2.756642891204092
37,-3.6971096283768574,3.7211103926728573,0.4954448504426473,-5.232802979119783,0.8652857747231538,2.7621259881324365,0.0652015957907514,-0.2641661779538183,0.4979418229740087,1.9533615992080462,-0.7055447613969316,-2.684843178085129
38,-3.62892190592368,3.728655101701378,0.49918587317056284,-5.206903788626344,0.8277641452662243,2.7619283170483713,0.07975444321243608,-0.2603067707421706,0.49462149294537633,1.9727852247399484,-0.6591885923859796,-2.6086577230461283
39,-3.5583325438664937,3.7364655429079465,0.503058658450733,-5.18009240280854,0.7889209665909203,2.761723683791543,0.0949496952443678,-0.25556493422862886,0.49115630692828954,1.9932322299417973,-0.6120475398147609,-2.5280211025796815
40,-3.4853674637111034,3.7445388481777204,0.5070617841364886,-5.152378667222033,0.7487705025133784,2.7615121635064486,0.1107653674952067,-0.24979362706922587,0.4875705342412241,2.014880960346885,-0.5643140047370461,-2.442858508630344
41,-3.410055910033277,3.752871781710956,0.5111936457656382,-5.123773689597238,0.7073288454340492,2.7612938409709167,0.12715762718947254,-0.24282991174448215,0.48389391874291715,2.037914653585644,-0.5162055073736139,-2.353086128996114
42,-3.332430356871134,3.7614607503803303,0.515452461696116,-5.094289804285106,0.6646138648282789,2.761068810324743,0.14405505932379567,-0.23449711536392367,0.4801618645641573,2.0625208622161115,-0.4679671281339208,-2.258612025654721
43,-3.252526414117546,3.7703018140882634,0.5198362782416313,-5.063940536702909,0.6206451557368939,2.7608371747983327,0.161352750161398,-0.2246084842345307,0.4764155133501166,2.0888902119037995,-0.4198740369354109,-2.159337688533513
44,-3.170382733912528,3.779390696124238,0.524342974807316,-5.032740567780017,0.5754439872567817,2.7605990464413344,0.17890653013780938,-0.21297253202433922,0.4727016944111156,2.117214244978189,-0.3722340094203193,-2.055160493328517
45,-3.086040917035639,3.7887227935221217,0.5289702690253739,-5.000705698403682,0.5290332510314751,2.760354545851283,0.19652780368609082,-0.1994002123799594,0.46907273043694514,2.1476820564879087,-0.32538977280744324,-1.9459773408560712
46,-2.9995454192983724,3.798293187417487,0.5337157218907292,-4.967852813864819,0.4814374097417332,2.7601038019022353,0.21397946790214498,-0.1837139477155672,0.4655860835699368,2.1804753971978994,-0.2797209512697692,-1.8316897922946198
47,-2.910943457936554,3.8080966534049336,0.5385767428966745,-4.934199848303786,0.43268244559612534,2.7598469514734103,0.2309734755079051,-0.16575841706764705,0.46230382971308986,2.2157619124454535,-0.23564529099589115,-1.712211022979316
48,-2.8202849180027387,3.8181276718954082,0.5435505951705194,-4.899765749156168,0.382795808821613,2.7595841391778273,0.24717061966209078,-0.1454128509858787,0.4592919529928695,2.2536862325706517,-0.19361874281191274,-1.5874748722473278
49,-2.7276222587586014,3.828380438473527,0.5486344006092396,-4.864570441598557,0.33180636615413506,2.7593155170909447,0.26218309847393034,-0.12260440757994973,0.45661945727756587,2.294358762996048,-0.15413387693701103,-1.4574471351531517
50,-2.6330104200673397,3.838848874254896,0.553825145015125,-4.828634792994336,0.2797443493291851,2.7590412444792975,0.27558034667880804,-0.09732202204531196,0.45435729749540144,2.3378422769964464,-0.11771602215891258,-1.3221389867518263
51,-2.536506728786063,3.8495266362434326,0.5591196832314278,-4.791980577339457,0.2266413035724011,2.7587614875291377,0.28689849470639656,-0.06962994685566615,0.4525771400694691,2.3841368212876013,-0.08491649541354974,-1.1816220216152786
