Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,-2.0443285511033884,4.551173680008286,-1.8130660430489107,6.063375044819693,6.051563052663168,2.903740743637535,0.3181781328081592,0.13836798773811804,0.40136921040587686,-0.8472690188986456,-0.1382848829448075,-0.6618328242185335
1,-2.0443204567627387,4.551173000773126,-1.8130554263509464,6.063372696419713,6.051539898524009,2.903739985812831,0.3181759757705975,0.13836960987125713,0.40137259371314465,-0.8472595717114368,-0.13829671749093184,-0.6618449544262395
2,-2.044264449579449,4.551168300940277,-1.8129819662169404,6.063356447132245,6.051379688054508,2.9037347421952293,0.31816104887447905,0.13838083304641824,0.4013960030393992,-0.8471941974387805,-0.13837859484025516,-0.6619288939522954
3,-2.0441144010817043,4.551155709647208,-1.8127851596270674,6.063312913766865,6.050950469178296,2.9037206940518017,0.3181210436566719,0.13841089363807796,0.4014587119569081,-0.8470189990739624,-0.13859787059935597,-0.6621538357717334
4,-2.0438261052777142,4.551131517355963,-1.8124070251244837,6.06322927089965,6.050125789139071,2.9036937026399245,0.318044119691157,0.138468620543297,0.4015791697171657,-0.8466821586695833,-0.13901884365715708,-0.6625862729745626
5,-2.0433572521387444,4.5510921736279855,-1.8117920680351483,6.0630932431798445,6.048784618647912,2.903649806724658,0.31791885070696124,0.13856241693467997,0.40177499026354013,-0.8461337322830724,-0.13970253372170668,-0.6632902304728016
6,-2.0426674010821517,4.551034284898958,-1.8108872456876446,6.062893097636532,6.046811276030583,2.9035852200961165,0.31773415692557777,0.13870023487763683,0.40206293443898034,-0.8453253938381708,-0.14070637896233346,-0.6643275542711291
7,-2.041717954454418,4.5509546122536335,-1.8096419326330002,6.062617635985297,6.04409535137485,2.903496329086849,0.31747922651068317,0.13888954401464468,0.4024588863624213,-0.8442101388943071,-0.14208386608822304,-0.6657582477527478
8,-2.040472131014186,4.550850069200668,-1.808007885864509,6.0622561869349045,6.040531630677778,2.9033796900892086,0.31714342900154535,0.139137295399318,0.40297782476793875,-0.8427419593926498,-0.1438841033875634,-0.6676408450376294
9,-2.038894939415291,4.550717719447457,-1.805939210037551,6.06179859849396,6.036020019993057,2.9032320270727325,0.31671622359133206,0.1394498814514694,0.40363378992852983,-0.8408755006421293,-0.1461513454855759,-0.670032811949273
