Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,2.4561801973819297,4.611792672984844,2.4227110003098775,-1.6533489250325744,-0.012130865286508974,-4.148349846141015,-0.29361024377079226,-0.04796954156306143,0.204181018173369,1.2328939787249058,0.013122712078381223,-2.2437287618952197
1,2.4561654055133704,4.611795035642555,2.4226981936104495,-1.6533415363801656,-0.012149476748794213,-4.148355360742629,-0.29361186541857154,-0.04796441338263867,0.20418155281973605,1.2328855889238797,0.013137382369859316,-2.2437320740495363
2,2.456063056115259,4.611811383583569,2.4226095801960628,-1.6532904120665703,-0.012278255067448958,-4.148393517933777,-0.29362308295100426,-0.04792892840577602,0.20418525244687474,1.2328275419909482,0.01323889240209674,-2.243754994169799
3,2.4557888524769127,4.61185518125105,2.422372176546607,-1.6531534452347723,-0.012623264263075692,-4.148495744628168,-0.29365310874989603,-0.04783384747700194,0.2041951662292185,1.2326720686829258,0.013510863336424997,-2.243816419343532
4,2.455262011091878,4.611939331935324,2.4219160408503564,-1.6528902839003585,-0.013286147963561975,-4.148692157971132,-0.29371068836492786,-0.047651109152654345,0.20421422281266002,1.2323735128655722,0.014033480411440804,-2.2439345203941796
5,2.4544052131999408,4.612076185513913,2.4211742310493687,-1.6524623067463806,-0.014364190375014433,-4.14901158340539,-0.2938040191417168,-0.0473537704413563,0.2042452389361754,1.2318884316283973,0.014883592093540987,-2.244126816330351
6,2.453144556329139,4.612277546191577,2.4200827628848884,-1.6518325989182152,-0.01595037725269276,-4.149481572736823,-0.2939406425378877,-0.04691593535026144,0.20429093018567857,1.2311757335539273,0.016134824054848864,-2.244410266876917
7,2.4514095058377725,4.612554680240353,2.4185805679427483,-1.6509659278184246,-0.01813345687194372,-4.1501284222002495,-0.2941273144732583,-0.04631267424853618,0.20435392359567,1.2301968480225507,0.017857704555910597,-2.2448013783460516
8,2.4491328464564117,4.612918323739595,2.4166094516987693,-1.6498287189016179,-0.02099800099913514,-4.150977190525185,-0.2943698575755673,-0.04551993721512358,0.2044367718801416,1.2289159188539178,0.02011979772322045,-2.2453163177751123
9,2.446250633829911,4.61337869031601,2.4141140515641646,-1.6483890314693104,-0.024624465862589907,-4.152051717001624,-0.29467299871646807,-0.04451446471032153,0.20454196914032297,1.2273000160104506,0.022985841119807875,-2.245971029905742
10,2.4427021460594176,4.613945478883699,2.4110417949309397,-1.646616534464786,-0.029089253123519995,-4.1533746395458015,-0.29504019480054644,-0.04327369908270216,0.20467196796068424,1.2253193595354488,0.026517883933034427,-2.2467813512401524
11,2.4384298352443836,4.614627881384199,2.4073428572172944,-1.644482482267956,-0.03446477084696041,-4.154967412765973,-0.29547344938816517,-0.04177570058117902,0.20482919786418272,1.2229475503857372,0.030775422066048195,-2.2477631151133832
12,2.433379279024575,4.615434590526517,2.4029701199130242,-1.641959690490221,-0.04081949447270322,-4.1568503260281755,-0.2959731224146401,-0.03999907167684062,0.20501608515153813,1.2201618033656634,0.03581552643246126,-2.248932241483553
13,2.4274991321220836,4.616373807527173,2.3978791286249224,-1.6390225117693311,-0.04821802778623161,-4.1590425215220055,-0.29653773502544084,-0.03792289360325564,0.2052350741961101,1.2169431779945323,0.041692960828106994,-2.2503048049775316
14,2.4207410778833367,4.6174532498502385,2.3920280511221814,-1.6356468115642466,-0.05672116388965375,-4.161562012326387,-0.29716377138967087,-0.035526679091828675,0.20548865030482502,1.2132768038616817,0.048460285894974996,-2.251897074641099
15,2.4130597798211078,4.618680158947372,2.385377635381794,-1.631809943949999,-0.0663859461726369,-4.164425700475342,-0.29784547928984023,-0.032790345305789004,0.205779364285722,1.2091520978605053,0.05616794590160544,-2.253725518827443
16,2.4044128331565293,4.620061307997866,2.3778911676339565,-1.62749072741255,-0.07726572928334144,-4.167649395023764,-0.298574671320481,-0.0296942109581121,0.20610985888339678,1.2045629716619908,0.064864335337287,-2.2558067687045904
17,2.394760716361099,4.621603009648678,2.3695344304074673,-1.622669420643655,-0.08941024009935468,-4.171247830113183,-0.299340528664683,-0.026219021530158627,0.20648289725421975,1.1995080289068625,0.07459584264519109,-2.2581575339515885
18,2.3840667426986952,4.6233111237544735,2.3602756605751325,-1.6173276983357208,-0.10286563869862506,-4.175234683037542,-0.3001294096569211,-0.02234600638322156,0.20690139365296864,1.1939907528801923,0.08540686878764704,-2.2607944643162154
19,2.3722970117675843,4.625191065117667,2.3500855073991636,-1.6114486269766686,-0.11767457933039616,-4.179622592308966,-0.3009246656806564,-0.018056971367147855,0.20736844649072508,1.188019686901284,0.09733981872561848,-2.263733950784617
20,2.3594203610424325,4.627247811228457,2.3389369905765816,-1.6050166406447928,-0.1338762713861404,-4.18442317572353,-0.3017064673854305,-0.013334430269889761,0.20788737389964168,1.1816086113356083,0.11043506427948836,-2.2669918601144756
21,2.3454083174163154,4.629485910004868,2.326805458284619,-1.598017516803623,-0.1515065403704934,-4.189647048427034,-0.30245164473267555,-0.00816177810851286,0.2084617519026495,1.174776723039675,0.12473087719013913,-2.270583196343546
22,2.3302350487427317,4.631909487532789,2.3136685452261183,-1.5904383520967837,-0.170597888872188,-4.195303840980773,-0.3031335449811325,-0.0025235088234842884,0.2090954552343386,1.1675488252177593,0.14026333148403194,-2.274521682523927
23,2.31387731537761,4.634522255806012,2.2995061306749376,-1.5822675381428555,-0.1911795575349876,-4.201402217427304,-0.3037219133867939,0.0035945206098453204,0.20979270079222884,1.1599555381472133,0.15706617442468152,-2.2788192552495086
24,2.2963144217213207,4.637327520466274,2.284300296521349,-1.5734947373302357,-0.21327758602862115,-4.207949893356219,-0.3041828020998727,0.010204778310684875,0.21055809361455902,1.1520335440817584,0.175170665361899,-2.2834854634167248
25,2.2775281677606887,4.640328188543289,2.268035285317442,-1.5641108586119983,-0.23691487401971648,-4.21495365396992,-0.3044785134692941,0.017317697332756805,0.21139667518085994,1.1438258829616927,0.1946053816197042,-2.2885267609355426
26,2.257502800611001,4.643526776194798,2.2506974583225245,-1.5541080333007555,-0.2621112421427343,-4.222419372149383,-0.3045675846857159,0.024941267650207488,0.2123139737145447,1.13538231947646,0.215395990136414,-2.293945680600184
27,2.2362249660580193,4.6469254164465985,2.2322752535485244,-1.543479590863518,-0.2888834929709026,-4.230352026519929,-0.30440482137423747,0.03308058185869459,0.21331605603244377,1.1267598067212214,0.2375649828181878,-2.299739872801981
28,2.2136836600999894,4.650525866932589,2.2127591438053917,-1.5322200347165553,-0.3172454719871503,-4.2387557195170045,-0.3039413883495876,0.04173733747341288,0.21440958033512247,1.1180230774194586,0.261131372406487,-2.305900987920936
29,2.1898701804896525,4.654329517634807,2.1921415947464995,-1.520325018020257,-0.3472081285550415,-4.247633695451938,-0.3031249662263443,0.05090930020384406,0.21560184916501862,1.1092454007988906,0.2861103439842072,-2.3124133746844477
30,2.1647780782762567,4.658337398623466,2.1704170229140463,-1.5077913194739927,-0.378779576889709,-4.256988358577722,-0.30189998288611725,0.060589734269393146,0.21690086157878571,1.1005095521890766,0.3125128549140869,-2.319252558031623
31,2.1384031093475655,4.662550187797,2.147581753784456,-1.4946168191109734,-0.4119651570287893,-4.266821291154779,-0.3002079288896019,0.07076680768406793,0.21831536338847002,1.091909053909726,0.3403451728259411,-2.3263834484127406
32,2.11074318597187,4.666968218622095,2.1236339798137815,-1.4808004740931116,-0.44676749580335484,-4.27713327151673,-0.2979877657272128,0.08142298246558724,0.2198548941270102,1.083549760923478,0.3696083369818659,-2.3337582191144155
33,2.0817983283399992,4.671591487873737,2.0985737184831064,-1.4663422945058817,-0.4831865678088505,-4.287924292136173,-0.29517643526859405,0.09253440188681675,0.22152982919187264,1.075551884224755,0.40029752257842127,-2.341313767970961
