Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,0.018491047221313117,-1.0451785808387726,2.03575128214549,-2.653197532510138,-2.6876614441366478,-5.558675359731471,0.3267297089708618,0.054597106638684036,0.1617484632000093,2.3965448688737445,0.4493136199486985,-1.5049281572471795
1,0.018793029661473403,-1.0453132108601952,2.035489438139586,-2.653226279906721,-2.687627876929943,-5.5579652505813595,0.32676961257470605,0.054698258321247376,0.16184611397590487,2.3977281244879647,0.4493270575131771,-1.5044172980925354
2,0.019698976981954264,-1.0457171009244635,2.0347039061218744,-2.65331252209647,-2.687527175309828,-5.555834923131025,0.32688893001936214,0.055001884380560515,0.16213924839767094,2.401277927648083,0.44936682792142346,-1.5028845850823072
3,0.0212088891827557,-1.0463902510315768,2.033394686092355,-2.6534562590793853,-2.6873593392763038,-5.552284377380467,0.32708647960469045,0.05550849539075072,0.1626284119732355,2.4071943848011754,0.4494313033466365,-1.5003296150060497
4,0.02332276626387771,-1.0473326611815357,2.0315617780510276,-2.653657490855467,-2.687124368829369,-5.547313613329685,0.32736028652151117,0.056218934088301524,0.16331451129680413,2.415477664992228,0.4495177675308368,-1.496751727291101
5,0.02604060822532029,-1.0485443313743399,2.0292051819978925,-2.653916217424715,-2.686822263969025,-5.540922630978679,0.32770757496807956,0.05713436297900162,0.16419881015415383,2.426127987259533,0.44962241104948464,-1.4921500212271062
6,0.029362415067083446,-1.0500252616099897,2.0263248979329496,-2.654232438787129,-2.686453024695271,-5.533111430327451,0.32812475727381596,0.058256246863753115,0.16528292403775763,2.4391456028821863,0.44974032485190735,-1.4865233801924842
7,0.03328818678916718,-1.0517754518884848,2.022920925856199,-2.6546061549427087,-2.686016651008107,-5.523880011376,0.32860742019298816,0.05958633016166452,0.1665688130397057,2.454530772380161,0.44986549224922034,-1.4798705029886858
8,0.03781792339157149,-1.0537949022098252,2.01899326576764,-2.655037365891455,-2.6855131429075336,-5.513228374124324,0.32915030858040484,0.06112660887748499,0.16805877308158645,2.4722837371484045,0.4499907795728947,-1.4721899424091982
9,0.04295162487429636,-1.056083612574011,2.0145419176672736,-2.6555260716333673,-2.68494250039355,-5.501156518572426,0.3297473067125927,0.06287929703169222,0.16975542543196717,2.492404685594735,0.4501079257801922,-1.4634801511842992
10,0.048689291237341815,-1.058641582981042,2.0095668815550995,-2.656072272168446,-2.684304723466157,-5.487664444720305,0.33039141757184187,0.06484678734602027,0.17166170445393372,2.5148937136488922,0.45020753133752933,-1.453739535447669
11,0.055030922480707845,-1.0614688134309187,2.0040681574311177,-2.6566759674966907,-2.6835998121253537,-5.47275215256796,0.33107474046718716,0.0670316059556425,0.17378084351735879,2.5397507795187786,0.45027904676951613,-1.4429665158652898
