timestamp,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1749054002.306482,3.7129811078100086,-0.8717186483169903,0.27118450665897925,4.338342896283481,-2.4134098921848213,-2.5433591944514897,-0.0032692211552798403,-0.0025886091583873427,-0.0004361769078049604,-0.0018543615064622447,0.0021212549149750366,-0.00016991233722671247,0.087371751666069,-1.4106909036636353,-1.0702956914901731,-0.4719176888465881,-0.2526811957359314,-0.0527046918869018
1749054002.306558,3.712964080851361,-0.8717180853418518,0.2711924018019262,4.338342791487075,-2.413403523761761,-2.54335143815296,-0.0037857101064296453,-0.0022865365144029925,-0.0003539381717530441,-0.0019539328481756784,0.002325567228008786,-0.000136574860766826,0.0823996067047119,-1.4573966264724731,-1.075667381286621,-0.4749326109886169,-0.2413123697042465,-0.0333452001214027
1749054002.3066032,3.712947272703217,-0.8717174803330021,0.27120013848701535,4.338342583249871,-2.413397262949659,-2.5433440501398565,-0.004281000599549303,-0.001992966369907333,-0.0002743923041740098,-0.002047052754836537,0.002517114442796009,-0.00010666309434108957,0.0642104744911193,-1.452124834060669,-1.0695505142211914,-0.4767834544181824,-0.219698891043663,-0.0254038833081722
1749054002.3066423,3.7129308719853884,-0.8717167980200602,0.271207476305979,4.338342123590519,-2.4133911770177074,-2.5433373302415627,-0.004729647610754586,-0.001715921292524141,-0.0002002088947935111,-0.002128235049005223,0.0026830822730471737,-8.150136309523391e-05,0.0678954124450683,-1.4711183309555054,-1.0554721355438232,-0.5011088252067566,-0.2163848727941513,-0.0159572884440422
1749054002.3066795,3.7129150447798076,-0.871716009952738,0.2712142035076543,4.3383412922343,-2.413385332259675,-2.543331512863586,-0.005109152311258568,-0.001462107452899692,-0.00013359631194923702,-0.0021928595906836497,0.0028125332311756466,-6.202485982775237e-05,0.0644347220659256,-1.46449077129364,-1.0731158256530762,-0.5154385566711426,-0.2015979140996933,-0.0125415753573179
1749054002.3067172,3.7128999294442337,-0.8717150998376,0.27122015350188877,4.338340008387542,-2.4133797914606814,-2.5433267497603906,-0.0054013330857873255,-0.0012364820125894476,-7.615869733864782e-05,-0.0022373692605678055,0.0028971622195936844,-4.865988808448053e-05,0.0807817131280899,-1.481755256652832,-1.053045630455017,-0.5147458910942078,-0.2111248821020126,-0.0312403738498687
1749054002.3067544,3.712885633869538,-0.8717140671581918,0.2712252148664257,4.338338235948147,-2.4133746102740723,-2.543323102188079,-0.0055932815324970684,-0.0010420381278910694,-2.8829829161210372e-05,-0.002259407224081064,0.0029318199807356663,-4.124493106976321e-05,0.0466833785176277,-1.492322564125061,-1.0594494342803955,-0.5238028168678284,-0.2052365392446518,-0.0361932516098022
1749054002.3067906,3.7128722350737755,-0.8717129287647594,0.27122933436418706,4.338335982436693,-2.41336983318996,-2.5433205427826944,-0.0056778733247027655,-0.000879804699775949,8.116745285428802e-06,-0.002257916847909509,0.002914772440735474,-3.900276077792114e-05,0.062240295112133,-1.4852596521377563,-1.0637483596801758,-0.5214595794677734,-0.1960230320692062,-0.0190010387450456
1749054002.306827,3.712859781201313,-0.8717117183111398,0.2712325134254912,4.33833329289059,-2.413365489966103,-2.5433189664566926,-0.005653849645054,-0.0007490285946434449,3.4992528130318754e-05,-0.0022332038398229226,0.0028476753365479224,-4.057007110376543e-05,0.0817234441637992,-1.499365210533142,-1.060942530632019,-0.5136460661888123,-0.1886538118124008,-0.0246276520192623
1749054002.3068638,3.7128482963062384,-0.8717104838292534,0.2712347993319792,4.338330240345225,-2.413361593133516,-2.5433182087509127,-0.005525510808250199,-0.0006474888317292147,5.257214010772576e-05,-0.0021869268967112452,0.00273526436747459,-4.408708379147325e-05,0.0483535155653953,-1.4877194166183472,-1.0443934202194214,-0.5089844465255737,-0.1847297102212906,-0.0049241743981838
1749054002.3069005,3.712837788095121,-0.8717092842500576,0.27123627293525227,4.338326914567535,-2.4133581367531103,-2.543318069241926,-0.00530207783738297,-0.0005718846405306611,6.194634908214448e-05,-0.002121966127047919,0.002584794478811768,-4.73454101528727e-05,0.0615648552775383,-1.4760922193527222,-1.0458158254623413,-0.5291703343391418,-0.179892435669899,0.0059976764023303
1749054002.3069377,3.7128282579044156,-0.8717081859020521,0.27123703511555947,4.338323410590498,-2.413355096432512,-2.5433183368050956,-0.004996790374874055,-0.0005182410837037344,6.437182327369406e-05,-0.0020421354963518464,0.0024052960469454123,-4.798826119064688e-05,0.0602541044354438,-1.465635061264038,-1.060227632522583,-0.5337530970573425,-0.184483990073204,-0.0060869390144944
1749054002.306974,3.7128197110563637,-0.8717072596521946,0.27123719421987735,4.338319818367072,-2.4133524307395042,-2.5433188131583444,-0.004625822951360105,-0.0004822849608111202,6.113674076680527e-05,-0.001951751458926519,0.002206737051752786,-4.375282672673059e-05,0.0852153077721595,-1.5055238008499146,-1.0472707748413086,-0.5381869077682495,-0.1708788424730301,0.0066709890961647
1749054002.307011,3.7128121650254493,-0.87170657855006,0.2712368562761237,4.338316214544551,-2.4133500842372335,-2.543319331518025,-0.004207110589553966,-0.00045975735858793385,5.345688161241186e-05,-0.0018551209241081414,0.001999183726537926,-3.274021083377428e-05,0.0595102831721305,-1.481622338294983,-1.0436742305755615,-0.5413933992385864,-0.1750531941652298,0.0073257088661193
