timestamp,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1749038103.9462855,-1.8827984733023144,-0.7559194776309964,2.120893034066217,1.4343410405704389,-0.9038442391831246,5.440405797012273,0.002659804636980152,0.00033539625922393655,0.0011504807747851635,0.0004168518334674273,0.0005038731866270378,0.001274882522495303,-0.1640040576457977,-0.8333083391189575,-0.0967238843441009,-0.0782510712742805,-0.1940490454435348,0.108791708946228
1749038103.946334,-1.8828015085185557,-0.7559237284485019,2.120896937107503,1.4343375141399433,-0.9038391141920341,5.440405537823671,0.0023600857680983185,0.00033086650373556376,0.0012063442232423038,0.00039916460615353885,0.0006459151839790614,0.0004648543149512382,-0.139114037156105,-0.8340450525283813,-0.0952769666910171,-0.0782483741641044,-0.1623933017253875,0.0892845168709755
1749038103.946381,-1.8828043479294454,-0.755927814654125,2.120900814857954,1.434334171520183,-0.9038342349300195,5.440405150557915,0.0020708991047253926,0.0003264047664560931,0.0012575008043294253,0.00038370215307270266,0.0007778744547993012,-0.0003178913974069583,-0.1278661489486694,-0.8494882583618164,-0.0805532932281494,-0.0907173007726669,-0.1587651520967483,0.0718939900398254
1749038103.9464214,-1.882806795633723,-0.755931599182648,2.120904679233108,1.434331139486297,-0.9038297942056496,5.440404420555387,0.0018013127057758841,0.0003212707910823981,0.001298657558315839,0.0003705837467840104,0.0008924393844029353,-0.0010490306407020368,-0.1225143373012542,-0.8332158327102661,-0.0920707434415817,-0.0874618589878082,-0.1719655692577362,0.0742986425757408
1749038103.9464607,-1.8828086956522614,-0.755934972244587,2.120908528813698,1.4343285132852954,-0.9038259372358113,5.440403155705107,0.0015587520674341336,0.0003145848502228048,0.0013255968997090163,0.0003596576392805151,0.000983802479383723,-0.0017073270926943513,-0.1044367104768753,-0.8443368673324585,-0.10649374127388,-0.0854634791612625,-0.157744824886322,0.0763542056083679
1749038103.9465032,-1.8828099452194316,-0.7559378581550934,2.120912345191514,1.4343263473625554,-0.9038227473448082,5.440401202778708,0.0013484466862525124,0.0003054009182331966,0.0013355511514395995,0.00035047359465792166,0.0010481547195864878,-0.0022757906288403467,-0.0987062081694603,-0.8355388641357422,-0.0955357924103736,-0.0930314883589744,-0.1714888364076614,0.0668231099843978
1749038103.9465427,-1.8828105007335376,-0.7559402184753904,2.1209160940938716,1.4343246514226522,-0.9038202405546478,5.440398458971397,0.0011731232223844276,0.0002928076206040795,0.0013273687888350548,0.0003422832489970329,0.0010839686040423086,-0.002742614067826841,-0.0951221659779548,-0.8518732190132141,-0.0904634147882461,-0.098501481115818,-0.1664380729198455,0.0810148417949676
1749038103.9465804,-1.8828103767636477,-0.7559420512999522,2.1209197308159817,1.4343233919897769,-0.9038183686675335,5.440394878253971,0.0010329710107845628,0.00027605282394285827,0.0013014732425059823,0.0003340740407990936,0.001092049185616505,-0.0031017937805222747,-0.093097910284996,-0.8432399034500122,-0.1102695390582084,-0.0901266112923622,-0.1596885621547699,0.0681052133440971
1749038103.9466178,-1.882809639226769,-0.7559433868111165,2.1209232084226586,1.4343224986812997,-0.9038170292157035,5.440390472685385,0.0009258704350642255,0.0002546840158759313,0.0012596522785891784,0.0003246401084060582,0.0010753578656732953,-0.003353330875870879,-0.1021940782666206,-0.856452465057373,-0.1185362711548805,-0.0710362046957016,-0.1470445543527603,0.0646377056837081
1749038103.946659,-1.8828083940592633,-0.7559442795570736,2.1209264865605624,1.4343218738661683,-0.9038160801432495,5.440385309218312,0.0008478411549997529,0.00022869289638091354,0.001204740103112095,0.000312690452411638,0.0010386342615713831,-0.0035029276133360216,-0.1004399508237838,-0.8334371447563171,-0.1026551872491836,-0.0960635542869567,-0.1621402502059936,0.0694308504462242
1749038103.9466984,-1.8828067728165019,-0.7559447985116569,2.1209295386706426,1.434321404385325,-0.9038153570741986,5.440379502795927,0.0007936388620991316,0.00019864926378907434,0.0011402610955034787,0.00029699090814529704,0.0009878575029832737,-0.0035611466835379674,-0.1264168620109558,-0.8223881721496582,-0.0962790846824646,-0.0868144035339355,-0.1539530903100967,0.0610987842082977
1749038103.9467366,-1.8828049168527647,-0.755945016616461,2.1209323559503406,1.4343209742278487,-0.903814691246093,5.440373206725051,0.0007574115247954064,0.00016580678741145934,0.0010700952323930073,0.00027653223405614953,0.0009296003237614054,-0.003542082746905969,-0.1097604930400848,-0.8263341188430786,-0.1078732460737228,-0.0951730906963348,-0.1636414229869842,0.0609989315271377
1749038103.9467745,-1.8828029619929092,-0.7559450016529751,2.12093494745847,1.4343204771102187,-0.903813926435157,5.4403666013913865,0.0007333248055430761,0.00013216209703663864,0.0009982071786048521,0.0002507121558958208,0.0008703368920520424,-0.0034616877131142055,-0.0987370014190673,-0.806275486946106,-0.108157955110073,-0.0893663838505745,-0.1437686681747436,0.0593664646148681
1749038103.9468164,-1.8828010256529284,-0.7559448097207526,2.1209373368954445,1.4343198278105547,-0.9038129333765356,5.44035988225845,0.0007160826731960266,0.00010044925218240755,0.0009284606409834566,0.0002195148739533697,0.0008157675923364018,-0.003335968355058453,-0.1319921761751175,-0.7913214564323425,-0.1135064736008644,-0.0788443237543106,-0.1568544954061508,0.0452479794621467
