Punto,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,Posicion_X,Posicion_Y,Posicion_Z,Roll,Pitch,Yaw
0,5.613558079114789,-2.6718623855887387,-1.5187956531341973,6.016229638345566,-1.469840444667698,4.073184773277881,-0.21401862828602577,0.34751938279649847,0.19788321033052428,0.5743899476125948,-1.296816915600025,-0.29433887377992013
1,5.613554649061536,-2.6718597449257597,-1.518793183050601,6.016228890848365,-1.4698263467942723,4.073181997425032,-0.21401679957458722,0.3475212604230243,0.19788446560780595,0.5743460790045493,-1.2968079276788802,-0.2942991956073443
2,5.613530915488967,-2.6718414733824853,-1.518776091797501,6.016223718689871,-1.469728799357722,4.073162790462288,-0.21400414592065206,0.34753425201952615,0.1978931508302292,0.5740426155703969,-1.2967457245685072,-0.29402472530619417
3,5.613467331021745,-2.6717925222041057,-1.5187303027272143,6.016209861992097,-1.4694674606248412,4.073111333207399,-0.21397024345841015,0.34756905542122357,0.1979164157428999,0.5732302687568381,-1.2965789649674684,-0.2932900387150519
4,5.613345162953589,-2.6716984698174477,-1.5186423258595305,6.0161832384144835,-1.4689653372364553,4.073012465768592,-0.2139050962100567,0.3476359155462945,0.19796110103616604,0.5716721614193605,-1.2962581059407243,-0.2918810821830271
5,5.6131464820104595,-2.6715455131801957,-1.5184992497897456,6.01613994070511,-1.4681487380229505,4.072851678450895,-0.21379912329490655,0.34774462315757326,0.1980337308966815,0.5691457838507985,-1.2957350213171934,-0.28959709394107935
6,5.612854151113746,-2.6713204591301083,-1.5182887335966981,6.016076234251903,-1.466947227819805,4.072615102662485,-0.21364314417792848,0.3479045113841104,0.19814050210456646,0.5654455516069938,-1.2949625247114518,-0.2862531126903336
7,5.612451814143446,-2.6710107157342393,-1.5179989987508034,6.0159885546338385,-1.4652935812831192,4.072289501821024,-0.21342836242990387,0.3481244503766111,0.19828727032654747,0.560385813582604,-1.293893829231164,-0.28168292441924897
8,5.611923884701358,-2.670604283638154,-1.517618821022089,6.015873505172159,-1.4631237367051468,4.071862262259998,-0.2131463484909824,0.348412840430888,0.19847953422120118,0.5538041478127583,-1.2924819798311247,-0.2757422872669129
9,5.611255534874264,-2.6700897474151497,-1.5171375223882277,6.015727854481572,-1.4603767498298252,4.071321384135052,-0.21278902195042165,0.3487776038749837,0.19872241794112364,0.5455647682659109,-1.2906792976274444,-0.2683122598253476
10,5.610432683997111,-2.6694562669154744,-1.5165449629425758,6.015548534021465,-1.4569947476683058,4.070655472330333,-0.21234863387466277,0.34922617597970895,0.19902065258798096,0.5355618491364075,-1.2884368775266104,-0.2593024413070471
11,5.6094419874162025,-2.668693568615545,-1.515831532802204,6.015332635647108,-1.452922882314485,4.0698537273648245,-0.21181774973101633,0.349765495120123,0.19937855714989788,0.5237225554869441,-1.2857041805286273,-0.2486539141405484
12,5.608270825252383,-2.6677919369671663,-1.5149881440159356,6.015077409160867,-1.448109284760535,4.068905936298688,-0.21118923346308088,0.35040199238782604,0.19980001942678513,0.5100095537549796,-1.2824287593937083,-0.23634166402031365
13,5.606907291164218,-2.6667422057467496,-1.5140062224723791,6.0147802598634055,-1.4425050187124335,4.067802463639599,-0.21045623327497243,0.35114158083161384,0.20028847742806463,0.4944227677225541,-1.2785561505475944,-0.2223762443265985
14,5.6053401811111865,-2.665535749404532,-1.512877699807965,6.014438746104897,-1.4360640344054956,4.0665342422490856,-0.20961216967328442,0.3519896444875488,0.20084690170908528,0.47700015173728477,-1.2740299559458714,-0.20680445782710627
15,5.603558982116861,-2.6641644744137944,-1.511595005314978,6.014050576836232,-1.428743122419903,4.065092764248869,-0.20865072629747497,0.3529510273492,0.2014777790973662,0.45781728042420733,-1.2687921263245803,-0.18970885583534217
